EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1575664838.358345,331660.000,57661,3,GX,1,100,0.122
1575664838.399495,331694.667,57678,3,GX,1,100,-0.549
1575664838.440645,331729.333,57678,3,GX,1,100,0.366
1575664838.481794,331764.000,57678,3,GX,1,100,-0.610
1575664838.523340,331799.000,57696,3,GX,1,100,0.488
1575664838.564885,331834.000,57696,3,GX,1,100,-0.366
1575664838.606431,331869.000,57696,3,GX,1,100,-0.610
1575664838.647184,331903.333,57712,3,GX,1,100,-0.702
1575664838.687938,331937.667,57712,3,GX,1,100,0.305
1575664838.728693,331972.000,57712,3,GX,1,100,-0.153
1575664838.768655,332005.667,57731,3,GX,1,100,0.885
1575664838.808618,332039.333,57731,3,GX,1,100,-1.404
1575664838.848581,332073.000,57731,3,GX,1,100,-0.885
1575664838.886961,332105.333,57749,3,GX,1,100,0.336
1575664838.925340,332137.667,57749,3,GX,1,100,-0.366
1575664838.963721,332170.000,57749,3,GX,1,100,0.549
1575664839.002892,332203.000,57767,3,GX,1,100,0.488
1575664839.042063,332236.000,57767,3,GX,1,100,-0.977
1575664839.081234,332269.000,57767,3,GX,1,100,-0.366
1575664839.119615,332301.333,57785,3,GX,1,100,-0.549
1575664839.157995,332333.667,57785,3,GX,1,100,-1.587
1575664839.196374,332366.000,57785,3,GX,1,100,-0.397
1575664839.235546,332399.000,57803,3,GX,1,100,-0.031
1575664839.274717,332432.000,57803,3,GX,1,100,-0.793
1575664839.313889,332465.000,57803,3,GX,1,100,-0.183
1575664839.358995,332503.000,57821,3,GX,1,100,-0.122
1575664839.404101,332541.000,57821,3,GX,1,100,-0.031
1575664839.449208,332579.000,57821,3,GX,1,100,-0.946
1575664839.490357,332613.667,57839,3,GX,1,100,-1.404
1575664839.531507,332648.333,57839,3,GX,1,100,-0.458
1575664839.572657,332683.000,57839,3,GX,1,100,-0.702
1575664839.612224,332716.333,57856,3,GX,1,100,0.549
1575664839.651791,332749.667,57856,3,GX,1,100,1.282
1575664839.691358,332783.000,57856,3,GX,1,100,-1.831
1575664839.728551,332814.333,57875,3,GX,1,100,-1.129
1575664839.765744,332845.667,57875,3,GX,1,100,0.671
1575664839.802937,332877.000,57875,3,GX,1,100,-0.580
1575664839.842108,332910.000,57893,3,GX,1,100,0.946
1575664839.881279,332943.000,57893,3,GX,1,100,0.214
1575664839.920451,332976.000,57893,3,GX,1,100,-0.519
1575664839.961205,333010.333,57909,3,GX,1,100,-0.732
1575664840.001959,333044.667,57909,3,GX,1,100,-1.465
1575664840.042713,333079.000,57909,3,GX,1,100,0.671
1575664840.087819,333117.000,57927,3,GX,1,100,0.671
1575664840.132926,333155.000,57927,3,GX,1,100,-0.336
1575664840.178032,333193.000,57927,3,GX,1,100,-1.373
1575664840.218984,333227.500,57945,2,GX,1,100,-0.732
1575664840.259936,333262.000,57945,2,GX,1,100,-0.336
1575664840.297326,333293.500,57963,4,GX,1,100,-0.153
1575664840.334717,333325.000,57963,4,GX,1,100,-0.580
1575664840.372108,333356.500,57963,4,GX,1,100,-0.244
1575664840.409499,333388.000,57963,4,GX,1,100,-1.221
1575664840.449066,333421.333,57981,3,GX,1,100,-1.587
1575664840.488633,333454.667,57981,3,GX,1,100,0.610
1575664840.528200,333488.000,57981,3,GX,1,100,0.427
1575664840.569350,333522.667,57999,3,GX,1,100,0.519
1575664840.610499,333557.333,57999,3,GX,1,100,-0.488
1575664840.651649,333592.000,57999,3,GX,1,100,-0.275
1575664840.698536,333631.500,58017,2,GX,1,100,-0.793
1575664840.745423,333671.000,58017,2,GX,1,100,0.977
1575664840.785781,333705.000,58035,3,GX,1,100,0.153
1575664840.826139,333739.000,58035,3,GX,1,100,-0.854
1575664840.866498,333773.000,58035,3,GX,1,100,-0.427
1575664840.904878,333805.333,58053,3,GX,1,100,-1.038
1575664840.943258,333837.667,58053,3,GX,1,100,0.427
1575664840.981638,333870.000,58053,3,GX,1,100,0.397
1575664841.019622,333902.000,58071,4,GX,1,100,0.977
