EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1576779534.634963,403889.000,4781,1,TL,1,100,2019-12-19_14-18-54-713107
1576779540.678189,408983.000,5674,1,TL,1,100,2019-12-19_14-19-00-668145
1576779540.685307,408989.000,5676,1,TL,1,100,2019-12-19_14-19-00-668490
1576779546.726161,414081.000,6570,1,TL,1,100,2019-12-19_14-19-06-685415
1576779546.734465,414088.000,6572,1,TL,1,100,2019-12-19_14-19-06-685731
1576779552.679224,419099.000,7447,1,TL,1,100,2019-12-19_14-19-12-654279
1576779552.776505,419181.000,7467,1,TL,1,100,2019-12-19_14-19-12-726527
1576779558.691606,424167.000,8343,1,TL,1,100,2019-12-19_14-19-18-666468
1576779558.837526,424290.000,8363,1,TL,1,100,2019-12-19_14-19-18-783858
1576779564.707546,429238.000,9239,1,TL,1,100,2019-12-19_14-19-24-694581
1576779564.905665,429405.000,9260,1,TL,1,100,2019-12-19_14-19-24-858138
1576779570.765008,434344.000,10135,1,TL,1,100,2019-12-19_14-19-30-771471
1576779570.963127,434511.000,10156,1,TL,1,100,2019-12-19_14-19-30-933053
1576779576.827215,439454.000,11031,1,TL,1,100,2019-12-19_14-19-36-821440
1576779577.013471,439611.000,11052,1,TL,1,100,2019-12-19_14-19-36-981598
1576779582.901286,444574.000,11928,1,TL,1,100,2019-12-19_14-19-42-907936
1576779583.075679,444721.000,11948,1,TL,1,100,2019-12-19_14-19-43-048919
1576779588.946885,449670.000,12824,1,TL,1,100,2019-12-19_14-19-48-959202
1576779589.142631,449835.000,12844,1,TL,1,100,2019-12-19_14-19-49-118829
