EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1574713074.976321,189714.000,32776,1,B%,1,100,14
1574713075.973726,190553.000,32920,1,B%,1,100,14
1574713076.977074,191397.000,33063,1,B%,1,100,14
1574713077.967346,192230.000,33205,1,B%,1,100,14
1574713078.968317,193072.000,33354,1,B%,1,100,14
1574713079.978799,193922.000,33514,1,B%,1,100,14
1574713080.972637,194758.000,33656,1,B%,1,100,13
1574713081.989062,195613.000,33798,1,B%,1,100,13
1574713082.975768,196443.000,33958,1,B%,1,100,14
1574713083.979116,197287.000,34102,1,B%,1,100,14
1574713084.967011,198118.000,34248,1,B%,1,100,14
1574713085.971548,198963.000,34392,1,B%,1,100,13
1574713086.967764,199801.000,34535,1,B%,1,100,14
1574713087.972301,200646.000,34695,1,B%,1,100,14
1574713088.987538,201500.000,34837,1,B%,1,100,13
1574713089.978999,202334.000,34979,1,B%,1,100,13
1574713090.988292,203183.000,35128,1,B%,1,100,13
1574713091.978563,204016.000,35270,1,B%,1,100,13
1574713092.973590,204853.000,35430,1,B%,1,100,13
1574713093.981694,205701.000,35573,1,B%,1,100,14
1574713094.982665,206543.000,35734,1,B%,1,100,13
1574713095.971748,207375.000,35877,1,B%,1,100,13
1574713096.984607,208227.000,36004,1,B%,1,100,13
1574713097.991523,209074.000,36166,1,B%,1,100,14
1574713098.981794,209907.000,36309,1,B%,1,100,14
1574713099.982765,210749.000,36469,1,B%,1,100,13
1574713100.978981,211587.000,36611,1,B%,1,100,14
1574713101.987085,212435.000,36753,1,B%,1,100,13
1574713102.979735,213270.000,36901,1,B%,1,100,13
1574713103.991405,214121.000,37045,1,B%,1,100,13
1574713104.999509,214969.000,37205,1,B%,1,100,13
1574713105.993347,215805.000,37349,1,B%,1,100,13
1574713106.988374,216642.000,37492,1,B%,1,100,13
1574713107.991723,217486.000,37652,1,B%,1,100,13
1574713109.002204,218336.000,37797,1,B%,1,100,13
1574713109.993665,219170.000,37942,1,B%,1,100,13
1574713110.999391,220016.000,38084,1,B%,1,100,13
1574713112.000362,220858.000,38226,1,B%,1,100,14
1574713112.990634,221691.000,38386,1,B%,1,100,13
1574713113.989228,222531.000,38530,1,B%,1,100,12
1574713114.992576,223375.000,38672,1,B%,1,100,13
1574713115.995925,224219.000,38819,1,B%,1,100,14
1574713116.987386,225053.000,38963,1,B%,1,100,13
1574713117.996678,225902.000,39124,1,B%,1,100,13
