EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1575568690.496787,42420.333,6882,3,PR,1,100,179363
1575568690.541194,42457.667,6882,3,PR,1,100,179396
1575568690.585602,42495.000,6882,3,PR,1,100,179450
1575568690.626044,42529.000,6899,2,PR,1,100,179485
1575568690.666487,42563.000,6899,2,PR,1,100,179518
1575568690.707643,42597.600,6920,5,PR,1,100,179370
1575568690.748799,42632.200,6920,5,PR,1,100,179205
1575568690.789955,42666.800,6920,5,PR,1,100,179155
1575568690.831111,42701.400,6920,5,PR,1,100,179184
1575568690.872267,42736.000,6920,5,PR,1,100,179172
1575568690.909934,42767.667,6941,3,PR,1,100,179187
1575568690.947601,42799.333,6941,3,PR,1,100,179190
1575568690.985267,42831.000,6941,3,PR,1,100,179208
1575568691.024124,42863.667,6959,3,PR,1,100,179207
1575568691.062980,42896.333,6959,3,PR,1,100,179216
1575568691.101836,42929.000,6959,3,PR,1,100,179227
1575568691.141882,42962.667,6977,3,PR,1,100,179267
1575568691.181928,42996.333,6977,3,PR,1,100,179295
1575568691.221974,43030.000,6977,3,PR,1,100,179344
1575568691.262813,43064.333,6994,3,PR,1,100,179379
1575568691.303652,43098.667,6994,3,PR,1,100,179390
1575568691.344491,43133.000,6994,3,PR,1,100,179406
1575568691.386519,43168.333,7012,3,PR,1,100,179299
1575568691.428547,43203.667,7012,3,PR,1,100,179158
1575568691.470576,43239.000,7012,3,PR,1,100,179079
1575568691.508639,43271.000,7028,3,PR,1,100,179095
1575568691.546702,43303.000,7028,3,PR,1,100,179092
1575568691.584766,43335.000,7028,3,PR,1,100,179014
1575568691.623127,43367.250,7046,4,PR,1,100,178987
1575568691.661487,43399.500,7046,4,PR,1,100,179022
1575568691.699848,43431.750,7046,4,PR,1,100,179066
1575568691.738209,43464.000,7046,4,PR,1,100,179074
1575568691.778651,43498.000,7064,2,PR,1,100,179096
1575568691.819094,43532.000,7064,2,PR,1,100,179118
1575568691.858346,43565.000,7083,4,PR,1,100,179132
1575568691.897599,43598.000,7083,4,PR,1,100,179149
1575568691.936852,43631.000,7083,4,PR,1,100,179181
1575568691.976105,43664.000,7083,4,PR,1,100,179223
1575568692.017737,43699.000,7101,2,PR,1,100,179247
1575568692.059369,43734.000,7101,2,PR,1,100,179268
1575568692.097135,43765.750,7119,4,PR,1,100,179094
1575568692.134901,43797.500,7119,4,PR,1,100,178919
1575568692.172667,43829.250,7119,4,PR,1,100,178851
1575568692.210433,43861.000,7119,4,PR,1,100,178845
1575568692.251668,43895.667,7137,3,PR,1,100,178825
1575568692.292903,43930.333,7137,3,PR,1,100,178804
1575568692.334139,43965.000,7137,3,PR,1,100,178818
1575568692.374185,43998.667,7155,3,PR,1,100,178863
1575568692.414231,44032.333,7155,3,PR,1,100,178852
1575568692.454277,44066.000,7155,3,PR,1,100,178872
1575568692.495512,44100.667,7173,3,PR,1,100,178888
1575568692.536747,44135.333,7173,3,PR,1,100,178922
1575568692.577982,44170.000,7173,3,PR,1,100,178924
1575568692.619614,44205.000,7190,2,PR,1,100,178969
1575568692.661246,44240.000,7190,2,PR,1,100,178972
1575568692.700796,44273.250,7208,4,PR,1,100,179008
1575568692.740347,44306.500,7208,4,PR,1,100,179045
1575568692.779897,44339.750,7208,4,PR,1,100,179072
1575568692.819447,44373.000,7208,4,PR,1,100,178941
1575568692.855925,44403.667,7225,3,PR,1,100,178750
1575568692.892402,44434.333,7225,3,PR,1,100,178677
1575568692.928879,44465.000,7225,3,PR,1,100,178658
1575568692.966150,44496.333,7243,3,PR,1,100,178649
1575568693.003420,44527.667,7243,3,PR,1,100,178629
1575568693.040691,44559.000,7243,3,PR,1,100,178677
1575568693.080340,44592.333,7261,3,PR,1,100,178694
1575568693.119989,44625.667,7261,3,PR,1,100,178723
1575568693.159639,44659.000,7261,3,PR,1,100,178702
1575568693.198099,44691.333,7279,3,PR,1,100,178711
1575568693.236558,44723.667,7279,3,PR,1,100,178758
1575568693.275018,44756.000,7279,3,PR,1,100,178797
1575568693.313478,44788.333,7297,3,PR,1,100,178840
1575568693.351938,44820.667,7297,3,PR,1,100,178872
1575568693.390398,44853.000,7297,3,PR,1,100,178917
1575568693.431237,44887.333,7315,3,PR,1,100,178943
1575568693.472076,44921.667,7315,3,PR,1,100,178984
1575568693.512915,44956.000,7315,3,PR,1,100,178889
1575568693.553753,44990.333,7333,3,PR,1,100,178689
1575568693.594592,45024.667,7333,3,PR,1,100,178631
1575568693.635431,45059.000,7333,3,PR,1,100,178641
1575568693.676666,45093.667,7351,3,PR,1,100,178664
1575568693.717902,45128.333,7351,3,PR,1,100,178679
1575568693.759137,45163.000,7351,3,PR,1,100,178686
1575568693.797597,45195.333,7369,3,PR,1,100,178723
1575568693.836057,45227.667,7369,3,PR,1,100,178719
1575568693.874517,45260.000,7369,3,PR,1,100,178729
1575568693.912580,45292.000,7387,3,PR,1,100,178758
1575568693.950644,45324.000,7387,3,PR,1,100,178793
1575568693.988707,45356.000,7387,3,PR,1,100,178825
1575568694.029546,45390.333,7405,3,PR,1,100,178859
1575568694.070385,45424.667,7405,3,PR,1,100,178886
1575568694.111223,45459.000,7405,3,PR,1,100,178917
1575568694.152459,45493.667,7423,3,PR,1,100,178960
1575568694.193694,45528.333,7423,3,PR,1,100,179001
1575568694.234930,45563.000,7423,3,PR,1,100,178890
1575568694.276958,45598.333,7439,3,PR,1,100,178698
1575568694.318986,45633.667,7439,3,PR,1,100,178624
1575568694.361015,45669.000,7439,3,PR,1,100,178682
1575568694.399078,45701.000,7457,3,PR,1,100,178728
1575568694.437141,45733.000,7457,3,PR,1,100,178732
1575568694.475205,45765.000,7457,3,PR,1,100,178763
1575568694.513268,45797.000,7475,3,PR,1,100,178742
1575568694.551332,45829.000,7475,3,PR,1,100,178744
